usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
31070	70M中公1933_07018	21510	36330	80M文春1997_14042	23390	3.0	3.0
36780	70M中公1933_07015	24900	28790	PM31_00303	18440	4.0	4.0
19660	70M中公1933_07041	13430	10690	PM53_00025	7010	4.0	4.0
139850	70M中公1933_07010	91580	340	80M文春1997_01022	220	4.0	3.0
149380	70M中公1933_07015	99470	75760	80M文春1989_05055	49280	4.0	4.0
120610	70M中公1933_09032	80510	480	80M文春1997_09048	280	4.0	2.0
27510	70M中公1933_07043	19010	830	PM31_00764	390	3.0	4.0
55860	70M中公1933_07023	36870	410	80M文春2013_13017	270	4.0	3.0
72300	70M中公1933_05022	48350	620	80M文春1989_11045	370	3.0	4.0
39750	70M文春1965_06027	26860	118380	80M文春1997_05015	75660	3.0	3.0
38690	70M中公1933_07041	26490	13260	80M文春1989_02007	8610	4.0	3.0
370	70M文春1965_08016	210	69500	80M文春2005_11052	46330	3.0	2.0
106120	70M文春1973_01016	68690	7000	80M文春1997_07026	4650	4.0	4.0
80070	70M中公1933_07023	53000	400	70M文春1981_05058	270	2.0	3.0
350	70M文春1965_06026	230	12750	80M文春1997_05016	8560	4.0	4.0
490	70M中公1957_03017	280	160930	80M文春2005_07119	106510	3.0	4.0
35510	70M中公1933_05022	23760	33680	80M文春2013_10114	22240	3.0	3.0
13420	70M中公1941_11002	8690	479970	70M文春1981_04030	292400	3.0	1.0
420	70M文春1973_03025	250	36190	PM51_00430	23370	3.0	3.0
99780	70M中公1949_12001	64030	35760	80M文春1989_01029	22630	3.0	4.0
