usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
85150	70M中公1933_07020	58280	126150	70M中公1933_09032	84270	3.0	3.0
45570	70M中公1933_03024	29180	28810	70M文春1973_01040	18470	3.0	4.0
15960	70M中公1933_07043	11060	60310	70M中公1933_07041	40990	3.0	3.0
28330	70M中公1933_07015	18960	48080	70M中公1933_06002	32100	4.0	3.0
1390	70M中公1941_07042	940	3690	70M中公1957_10032	2410	4.0	4.0
133180	70M文春1973_09034	90340	31440	70M中公1933_02023	22140	2.0	2.0
188210	70M中公1949_10002	117710	450	70M文春1973_06041	290	3.0	3.0
60920	70M中公1941_07022	40310	43790	70M文春1973_16017	29050	3.0	3.0
135880	70M文春1973_07018	88770	1090	70M文春1965_10070	700	4.0	3.0
85340	70M中公1949_12001	54850	43080	70M文春1973_16017	28520	3.0	3.0
295860	70M中公1933_07002	190280	65690	70M中公1933_05022	43910	4.0	4.0
88180	70M中公1933_11004	58440	34870	70M中公1933_07015	23500	3.0	3.0
27070	70M中公1957_08006	17070	2160	70M中公1957_13040	1490	4.0	3.0
1350	70M文春1965_04031	900	3530	70M中公1957_14022	2290	3.0	3.0
26480	70M中公1933_07043	18330	150	70M文春1965_07002	80	3.0	3.0
76910	70M中公1933_05022	51420	116710	70M中公1957_12061	74030	4.0	3.0
60270	70M中公1933_11005	39810	49680	70M中公1933_07010	32500	4.0	4.0
38300	70M中公1933_09032	25480	26350	70M文春1965_12019	16980	4.0	3.0
5870	70M文春1973_13035	3460	23030	70M中公1957_11017	13660	4.0	4.0
165130	70M中公1933_07023	108040	45380	70M中公1933_09032	30180	4.0	3.0
