usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
9700	80M文春2005_01018	6250	43240	80M文春2013_13093	27980	3.0	3.0
148540	70M文春1981_09026	95680	110540	80M文春1989_07038	72950	3.0	3.0
198550	70M文春1981_09021	123290	190	70M文春1981_04012	110	3.0	3.0
12980	80M文春1997_09003	8340	3990	80M文春1989_13055	2470	3.0	4.0
88480	80M文春1997_08042	56860	38440	80M文春1989_05055	25270	4.0	3.0
12980	80M文春2005_12046	9330	3060	70M文春1981_13059	1930	4.0	3.0
790	80M文春2005_08038	520	3190	80M文春2013_02000	1940	4.0	4.0
40230	PM22_00068	25280	300	80M文春2013_07030	190	3.0	3.0
79450	80M文春1989_12021	49210	610	80M文春2013_10076	330	4.0	3.0
20280	PM31_00303	13020	210	80M文春2005_01045	120	3.0	2.0
51200	80M文春1997_07032	34360	136790	80M文春1997_11040	91560	3.0	3.0
22110	80M文春1997_09048	13850	16830	80M文春1997_04099	11050	4.0	3.0
237930	70M文春1981_05045	159930	590	80M文春1989_13020	350	3.0	3.0
51410	PM51_00140	33890	1950	PM11_00476	1200	4.0	4.0
18880	80M文春1997_11022	11900	1870	80M文春2013_07029	1090	4.0	4.0
5780	80M文春2005_05076	3870	4700	80M文春2005_09122	3180	4.0	4.0
86970	80M文春2005_05076	57590	68650	PM11_00570	46000	4.0	3.0
26210	80M文春1989_05055	17520	1150	80M文春2013_10028	720	3.0	3.0
21980	80M文春2005_02080	14570	24000	70M文春1981_11050	16250	4.0	3.0
780	80M文春2013_12033	470	19850	80M文春2013_10063	12850	4.0	4.0
