usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
51080	70M中公1933_09041	33740	22600	70M中公1957_01006	14590	3.0	3.0
70160	70M文春1973_06019	45050	35020	70M文春1965_10032	22480	1.0	2.0
25230	70M中公1941_06018	16750	251270	70M中公1933_07049	164970	1.0	3.0
121790	70M中公1957_02002	76480	119510	70M文春1973_16019	75210	4.0	4.0
13750	70M文春1965_02008	8250	140650	70M中公1957_06068	97970	1.0	1.0
28620	70M文春1973_09015	19340	4040	70M文春1965_05061	2620	3.0	3.0
78010	70M文春1973_15058	51880	134870	70M中公1933_10040	89880	4.0	2.0
116020	70M中公1957_06062	73020	61050	70M中公1957_08035	40080	3.0	3.0
9890	70M中公1957_02066	6510	101350	70M中公1941_10040	67750	1.0	2.0
40430	70M中公1957_14015	26590	65700	70M中公1957_02033	40360	3.0	3.0
5580	70M中公1957_13009	3610	159540	70M中公1941_05037	107920	1.0	1.0
223770	70M中公1957_11024	141290	14460	70M中公1957_13041	9580	4.0	4.0
75050	70M文春1965_04042	48690	494630	70M文春1973_07035	317910	1.0	1.0
79230	70M中公1941_05013	51650	43840	70M文春1973_04017	29170	3.0	3.0
90490	70M中公1957_10011	57750	3900	70M中公1941_03022	2490	下段の文章は、前後の文脈から「美味い」の意味が取りにくい。	2.0
40890	70M中公1941_04035	26340	10260	70M中公1957_10011	6540	4.0	4.0
49370	70M文春1965_02020	32300	9790	70M文春1965_01009	6170	1.0	1.0
497470	70M中公1933_11047	333140	32120	70M文春1973_18044	20750	上段の文章は、前後の文脈から「うまい」の意味が取りにくい。	3.0
110490	70M中公1957_08015	70460	2120	70M文春1965_11009	1330	1.0	2.0
18010	70M中公1949_09014	11390	13890	70M文春1973_15060	8160	4.0	4.0
