usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
96200	80M文春1997_04019	60130	95520	80M文春2013_11051	59530	3.0	4.0
40460	PM25_00084	24500	30330	PM31_00433	18360	3.0	3.0
26220	80M文春1989_03127	17560	41530	PM31_00682	25510	1.0	2.0
13940	80M文春1997_03079	8180	65550	80M文春1989_13033	42550	1.0	2.0
11400	PM51_00448	6020	263120	70M文春1981_10026	171390	3.0	3.0
19740	80M文春1997_12018	12700	545330	80M文春1989_10115	346570	3.0	4.0
1390	PM21_00304	860	4080	80M文春2013_11044	2380	4.0	2.0
9520	PM11_00228	5610	19680	PM41_00987	11450	3.0	3.0
69330	PM21_00937	42210	108250	80M文春1997_07019	71030	4.0	4.0
58380	80M文春2005_12018	37510	113060	70M文春1981_13078	75260	3.0	3.0
68820	80M文春1989_03100	45640	243980	80M文春1989_12048	161200	4.0	3.0
21350	PM31_00726	13710	13160	80M文春2005_13028	8270	3.0	4.0
31060	70M文春1981_06042	20240	3330	80M文春1989_03113	1980	4.0	3.0
58980	PM31_00308	36860	1090	80M文春1997_07053	730	4.0	3.0
97400	80M文春1989_05032	61240	29490	PM51_01352	19060	4.0	4.0
77010	80M文春2013_08024	49260	71110	80M文春2005_09141	47100	4.0	4.0
5600	PM11_00135	3520	16350	80M文春2013_11051	10200	1.0	1.0
309000	70M文春1981_03056	198680	34390	PM31_00253	21340	3.0	2.0
17050	80M文春1989_05060	10930	109880	80M文春1989_13047	69330	4.0	3.0
65100	80M文春1989_13033	42280	37510	PM11_00378	23920	4.0	3.0
