usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
355470	70M中公1957_03060	231850	11870	PM33_00004	7870	3.0	2.0
46190	70M文春1965_10019	29310	66690	80M文春1997_05026	41030	2.0	3.0
14510	70M文春1965_07111	9410	80490	PM31_00736	51280	4.0	4.0
54630	70M中公1933_12005	36760	12840	80M文春1997_05040	8270	2.0	3.0
136900	70M中公1933_08002	89580	26940	80M文春2013_13049	17580	4.0	3.0
30670	70M文春1965_03068	20630	11050	80M文春1997_12039	7500	3.0	3.0
100980	70M中公1933_12003	64680	4440	80M文春2013_12027	2990	2.0	2.0
91140	70M中公1933_09024	64380	22080	80M文春2013_11059	14070	2.0	3.0
80870	70M中公1949_01005	51200	11640	PM41_00959	6720	4.0	4.0
113760	70M中公1949_05006	73050	68730	80M文春2005_15023	42860	3.0	2.0
79100	70M中公1957_12017	51720	9020	80M文春2005_02021	5360	2.0	3.0
7020	70M中公1941_06020	4700	3720	80M文春2013_01082	2400	3.0	3.0
74600	70M文春1965_03046	49540	39960	80M文春1997_01040	25550	2.0	1.0
26500	70M中公1933_04040	17440	16750	80M文春2013_03023	10860	3.0	3.0
91410	70M中公1933_03012	60970	29560	PM33_00004	19090	3.0	2.0
23640	70M中公1941_12024	15610	85370	80M文春1997_12037	56110	2.0	3.0
21250	70M中公1933_03017	14350	17620	80M文春2005_03058	11570	4.0	4.0
39110	70M中公1941_11016	26070	450	70M文春1981_07024	300	2.0	3.0
99880	70M中公1933_07049	66130	8170	PM33_00004	5440	2.0	3.0
460	70M中公1941_07036	310	9990	80M文春2013_01032	6280	3.0	3.0
