usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
47090	70M中公1933_12002	30840	19660	70M中公1933_09019	12920	4.0	4.0
20630	70M中公1957_03013	13200	198950	70M中公1933_07052	133950	4.0	3.0
79090	70M中公1933_10039	52750	55610	70M中公1941_10015	35870	3.0	2.0
117480	70M中公1957_08020	73860	89010	70M中公1941_05030	56760	4.0	3.0
100190	70M中公1957_05022	64900	11650	70M中公1941_03021	8220	2.0	2.0
1510	70M中公1949_10008	1000	22370	70M文春1965_09042	14280	2.0	2.0
57130	70M中公1933_04039	40210	92650	70M中公1941_01016	61600	2.0	3.0
44550	70M中公1933_07031	27670	13900	70M中公1941_10044	8860	3.0	3.0
41980	70M中公1957_03014	25390	22320	70M中公1933_10021	15300	2.0	2.0
128140	70M中公1941_07043	85770	3590	70M中公1949_02004	2230	2.0	3.0
19440	70M中公1957_06039	12400	45690	70M中公1949_12017	31780	2.0	2.0
50910	70M中公1957_03050	31260	2450	70M中公1957_12009	1350	2.0	3.0
177660	70M中公1957_03059	123060	50100	70M文春1965_05028	32640	4.0	4.0
76190	70M中公1933_03018	53330	76420	70M文春1973_06015	49710	4.0	1.0
45700	70M中公1933_09041	30040	25120	70M文春1965_04046	17010	4.0	3.0
9930	70M中公1933_09028	6600	3050	70M中公1957_12057	2070	2.0	3.0
64720	70M中公1957_08051	42270	97400	70M中公1941_05029	66130	2.0	3.0
82570	70M中公1957_01068	57810	6360	70M中公1933_09037	4140	2.0	3.0
20780	70M文春1965_11057	14680	43740	70M中公1949_04015	29850	3.0	3.0
40580	70M中公1933_08009	27270	30780	70M文春1973_07039	17350	3.0	3.0
