usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
11500	80M文春1997_03045	7200	11440	80M文春2005_11016	7260	2.0	3.0
12720	PM21_01026	6880	58900	PM21_00208	37180	4.0	4.0
418460	70M文春1981_10014	278210	63320	PM31_00253	39080	2.0	3.0
4570	80M文春2013_07077	2870	4850	PM33_00004	3220	3.0	2.0
71070	70M文春1981_13084	46900	102530	80M文春1989_05055	66580	2.0	1.0
67790	80M文春1989_07040	45120	7840	80M文春1989_13067	5020	4.0	4.0
10960	80M文春2005_02021	6560	86460	80M文春1997_08045	55960	2.0	3.0
4200	PM21_00563	2150	41560	80M文春2005_08070	28450	3.0	3.0
75980	70M文春1981_05023	50360	72580	80M文春2013_12015	46920	3.0	4.0
2800	PM41_00038	1680	59140	70M文春1981_04039	37600	2.0	3.0
18920	PM21_00619	12430	85960	80M文春1997_01016	58450	4.0	4.0
1100	80M文春1989_11057	670	5720	80M文春1989_11078	3690	3.0	3.0
79670	80M文春1989_05062	48150	119980	PM51_00097	68900	2.0	3.0
72320	80M文春2013_12036	47850	54940	80M文春1997_05055	35490	4.0	4.0
3630	PM51_01291	2040	99140	80M文春1989_09021	63190	2.0	3.0
35780	80M文春2013_02027	23530	50230	PM32_00033	32140	4.0	3.0
336080	80M文春2013_03062	196420	196160	70M文春1981_02016	126570	3.0	4.0
3790	80M文春2013_10026	2660	8010	70M文春1981_03002	5270	3.0	2.0
30390	PM31_00382	20080	35010	80M文春1997_12018	22270	2.0	3.0
24340	80M文春1989_13001	15610	97730	70M文春1981_10017	61750	2.0	2.0
