usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
74360	70M中公1941_01063	50090	83710	PM21_00600	49660	4.0	3.0
41280	70M中公1949_04011	26710	80350	PM11_00394	48070	3.0	3.0
14810	70M中公1933_12019	9780	7860	80M文春2013_08054	4820	3.0	4.0
72210	70M中公1941_01063	48600	8880	80M文春2013_04129	5410	4.0	4.0
42890	70M中公1933_03007	27780	72660	PM41_00300	45790	3.0	3.0
49340	70M中公1933_12041	31200	19010	80M文春1989_06039	12450	3.0	4.0
41480	70M中公1941_07029	27690	2610	80M文春2005_02068	1850	4.0	3.0
46000	70M中公1933_11024	30490	529760	80M文春1989_03123	349660	3.0	3.0
12440	70M文春1965_06006	7760	92620	80M文春1997_08043	58580	4.0	2.0
1310	70M中公1933_06033	930	276220	80M文春2005_07098	174540	3.0	3.0
1720	70M中公1957_11047	1140	5070	80M文春2005_02068	3560	上段の文章は、「林檎」の意味ではない。	4.0
58990	70M中公1941_06016	43520	37870	80M文春1989_06039	25080	3.0	2.0
79390	70M文春1973_03050	53350	46940	PM44_00009	26940	4.0	4.0
77690	70M文春1973_18033	51000	46420	PM44_00009	26630	3.0	3.0
2510	70M中公1957_05051	1600	5110	80M文春1989_09038	3170	3.0	4.0
125600	70M中公1941_08035	84600	14060	80M文春2005_11022	9380	4.0	3.0
10270	70M中公1949_09013	6590	9960	80M文春1989_06039	6360	3.0	3.0
115950	70M中公1949_02016	78370	68070	PM41_00300	42840	3.0	4.0
1020	70M文春1973_16021	590	85010	PM41_00300	53410	4.0	4.0
34060	70M中公1933_12040	20600	38260	PM44_00009	21570	3.0	3.0
