usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
9530	70M文春1973_01016	6480	160	70M中公1933_12019	110	3.0	2.0
124460	70M中公1933_01045	83920	16960	70M中公1941_02037	11440	4.0	3.0
61240	70M中公1941_01064	41220	42150	70M中公1941_07029	28150	4.0	2.0
65610	70M中公1941_01063	44110	61570	70M中公1941_01064	41460	4.0	4.0
8810	70M中公1933_12019	5930	48790	70M中公1933_11024	32370	3.0	3.0
4410	70M文春1965_05078	2930	15280	70M文春1965_04002	10540	4.0	3.0
20	70M中公1933_12019	20	49620	70M中公1933_06028	31570	3.0	2.0
4880	70M中公1933_12057	3220	41990	70M中公1941_07029	28040	4.0	3.0
192440	70M中公1933_04058	128660	99710	70M中公1941_03026	66910	3.0	4.0
4450	70M文春1965_05078	2950	58950	70M中公1941_06016	43490	4.0	3.0
13090	70M文春1973_16010	8440	11370	70M中公1949_02010	6840	3.0	2.0
87990	70M文春1965_03068	58730	82990	70M中公1941_09022	54500	3.0	3.0
61380	70M中公1957_03013	39080	46400	70M中公1933_12041	29480	3.0	2.0
36140	70M文春1973_04052	22190	29570	70M中公1941_08035	19870	3.0	4.0
3730	70M文春1973_15075	2420	56000	70M中公1941_06016	41430	4.0	2.0
40650	70M文春1965_03051	26330	72880	70M中公1933_07020	50120	4.0	3.0
179860	70M中公1941_05037	121530	65510	70M中公1949_07013	46080	4.0	前者が具体物かどうか判断できません
8840	70M文春1973_03062	5380	23220	70M中公1957_14008	14440	4.0	3.0
3460	70M中公1957_10025	2230	12210	70M中公1941_01015	8040	4.0	3.0
12380	70M文春1973_01003	8140	8100	70M文春1965_12053	5380	3.0	2.0
