usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
120	80M文春1997_08043	60	58330	PM51_00054	35390	2.0	3.0
8640	PM51_00961	4820	16330	PM46_00026	10410	2.0	1.0
8630	80M文春2005_11074	5350	46200	PM44_00009	26510	3.0	4.0
37130	80M文春1989_06039	24600	92220	80M文春1997_08043	58320	2.0	3.0
27360	80M文春2013_13083	18050	11140	80M文春1997_07009	6820	3.0	3.0
13240	80M文春2013_06081	8250	16610	80M文春2005_02067	10670	3.0	3.0
1440	80M文春1989_06039	830	195780	80M文春2005_07098	123920	3.0	4.0
35030	PM22_00090	21620	1200	80M文春1997_08043	680	2.0	2.0
46740	80M文春2013_11047	29270	11320	80M文春1989_06039	7300	3.0	3.0
125510	80M文春1989_03082	80670	30730	80M文春1989_06039	20270	2.0	3.0
3060	80M文春1997_10069	1940	70	80M文春1997_01065	70	3.0	2.0
2800	PM11_01041	1770	1030	80M文春2005_02068	730	上段の文章は、文脈から「林檎」の意味が取りにくい。	3.0
16380	PM51_00054	10080	38800	80M文春2013_08025	24840	1.0	2.0
24960	80M文春1989_06039	16480	28930	70M文春1981_02014	17360	4.0	3.0
2190	80M文春2005_02068	1570	26490	PM41_00046	15580	4.0	3.0
144750	80M文春1989_08065	89090	14230	80M文春1997_09029	9510	2.0	4.0
15360	80M文春2013_02046	9530	86840	PM31_00707	53320	上段の文章は、「林檎」の意味ではない。	3.0
24120	80M文春1997_14023	14620	77450	PM41_00300	48820	3.0	3.0
20630	80M文春1989_06039	13490	39790	80M文春1989_06039	26280	3.0	3.0
101400	70M文春1981_04046	66730	33990	70M文春1981_01148	22290	4.0	4.0
