usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
56650	70M中公1949_03004	36100	217010	70M文春1981_09030	144540	2.0	1.0
5170	70M中公1941_05022	3530	25990	80M文春1989_01038	17190	4.0	3.0
59400	70M中公1941_02023	41030	23140	80M文春1989_06040	14510	4.0	4.0
329370	70M中公1933_01025	210430	15070	PM11_00208	9660	2.0	2.0
4090	70M文春1965_03084	2630	8550	PM51_00086	5190	4.0	3.0
414010	70M文春1973_04054	272180	77450	70M文春1981_01028	48720	4.0	3.0
195490	70M中公1933_01025	124940	9580	80M文春2005_01018	6180	2.0	1.0
140680	70M文春1973_03047	92590	34470	80M文春1989_13053	22000	2.0	2.0
118520	70M中公1957_11032	74300	9630	80M文春2005_08086	6490	4.0	4.0
61130	70M中公1957_01073	39690	93800	80M文春2005_01097	59700	4.0	3.0
491650	70M中公1933_11047	329120	63110	PM11_00660	40190	4.0	3.0
137880	70M文春1973_09034	93620	64000	80M文春2005_01019	40570	4.0	3.0
12070	70M中公1933_06029	8080	3360	PM11_00370	1740	4.0	前者は文脈から具体か抽象か判断できません
51100	70M文春1965_06032	33870	8510	80M文春2013_03005	5570	下段の文章は、前後の文脈から「椅子」の意味が取りにくい。	2.0
12430	70M中公1949_03007	7860	49570	70M文春1981_09030	32960	2.0	1.0
36210	70M文春1965_03033	23910	35530	80M文春1989_13053	22660	4.0	3.0
146080	70M中公1933_09024	102140	68590	80M文春1989_13053	44280	2.0	2.0
85500	70M中公1933_07031	53540	3370	PM51_00086	2030	4.0	4.0
177060	70M中公1957_13043	111920	280	80M文春1989_07035	180	4.0	3.0
38370	70M中公1957_08051	24920	43930	PM11_00010	28510	2.0	2.0
