usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
265160	70M文春1973_04052	164980	6460	70M中公1957_03006	4100	2.0	2.0
18850	70M中公1957_03018	11810	57250	70M中公1941_08030	38380	4.0	4.0
89720	70M文春1973_04052	55420	126040	70M中公1933_01025	80800	2.0	2.0
28520	70M中公1957_09065	19420	152000	70M文春1973_10037	99040	4.0	3.0
5090	70M中公1941_05022	3490	12460	70M中公1941_04024	8640	4.0	4.0
25680	70M中公1933_07051	16680	47820	70M中公1933_06019	32030	2.0	2.0
17670	70M中公1957_05051	10580	10820	70M中公1933_05016	7120	4.0	3.0
140200	70M中公1941_02039	91010	52790	70M文春1973_16036	34590	4.0	3.0
26680	70M文春1973_07023	16860	19110	70M中公1957_03045	12950	4.0	4.0
164470	70M中公1933_11047	109610	40380	70M中公1933_03026	27780	2.0	2.0
26830	70M文春1973_07023	16950	70480	70M中公1957_12004	45930	4.0	3.0
10810	70M中公1933_06029	7290	20240	70M中公1941_09007	13290	4.0	4.0
267310	70M中公1957_14048	165690	25510	70M文春1973_18023	16240	2.0	1.0
3700	70M中公1941_09037	2470	12150	70M中公1949_03007	7680	2.0	1.0
65690	70M文春1965_03029	42900	97780	70M中公1933_06070	66260	2.0	1.0
58650	70M中公1933_12049	40110	129080	70M中公1957_08057	82450	4.0	4.0
113980	70M中公1941_05017	78010	84820	70M中公1957_03006	55240	2.0	2.0
72920	70M文春1973_13028	45510	59140	70M中公1941_02023	40850	4.0	4.0
110520	70M文春1973_03045	74490	409850	70M文春1973_04054	269460	4.0	4.0
13720	70M中公1941_03025	8780	61370	70M文春1973_09040	37160	4.0	3.0
