usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
20330	80M文春2013_01070	13040	118980	80M文春1989_05043	81090	2.0	3.0
229330	70M文春1981_10026	149020	46360	PM12_00045	28900	4.0	3.0
59100	80M文春2013_02097	36830	43670	80M文春2005_13037	26400	4.0	2.0
105200	80M文春1997_13045	68230	100600	70M文春1981_07020	65640	2.0	1.0
34090	80M文春2005_05076	22740	34650	80M文春1997_03025	22670	上段の文章は、「椅子」の意味ではない。	1.0
11580	80M文春2005_03009	7580	30660	PM31_00911	18050	4.0	3.0
101960	70M文春1981_10022	64650	6460	80M文春1997_09030	4190	4.0	3.0
9090	80M文春2005_03066	6080	10870	PM11_00031	6190	4.0	3.0
74150	80M文春2013_10092	46560	97120	80M文春2005_13054	64760	4.0	4.0
47410	PM51_00491	29820	23010	80M文春2013_13026	15420	4.0	3.0
32600	80M文春1989_05038	20910	43010	80M文春1997_10033	28470	2.0	2.0
82880	80M文春2005_12109	54670	80880	PM11_00010	52580	2.0	1.0
60230	80M文春2013_04021	40340	14220	PM12_00062	8600	4.0	3.0
23510	PM35_00080	12140	9390	PM42_00040	6180	4.0	2.0
5300	80M文春2013_13055	3550	9380	PM51_00086	5650	4.0	3.0
19960	70M文春1981_02042	13030	46830	80M文春2013_10092	29380	3.0	4.0
16010	70M文春1981_06027	9750	4790	80M文春1989_10142	2980	4.0	4.0
18940	80M文春2013_06051	11790	12580	80M文春2013_01115	8140	上段の文章は、前後の文脈から「椅子」の意味が取りにくい。	3.0
4770	80M文春1989_03125	2930	25100	80M文春1989_12020	16190	4.0	3.0
62520	80M文春1997_10032	36950	28620	70M文春1981_06030	18640	4.0	3.0
