usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
7480	70M中公1933_02001	4860	70910	80M文春2013_06059	45420	4.0	4.0
100590	70M中公1957_12020	64150	8590	80M文春1997_01007	5350	4.0	3.0
27250	70M中公1957_01061	16930	32570	80M文春1997_04055	21470	3.0	2.0
109810	70M中公1957_09016	68550	17740	PM51_00549	11250	4.0	3.0
15530	70M中公1957_01016	10100	13170	80M文春1997_14044	8780	3.0	4.0
62000	70M中公1957_01060	40250	290	PM53_00025	190	3.0	2.0
89410	70M文春1973_16036	58020	55860	80M文春2013_07033	36220	3.0	3.0
25260	70M文春1965_08157	16490	10190	PM41_00166	6510	4.0	3.0
30390	70M文春1965_04043	19160	61010	80M文春2013_09041	40160	3.0	3.0
28320	70M中公1957_09017	18140	9880	PM16_00020	6070	4.0	4.0
37090	70M中公1941_10020	24870	98390	70M文春1981_12041	62330	4.0	4.0
12080	70M文春1973_10037	7850	24650	PM26_00015	15290	4.0	3.0
150270	70M中公1957_08003	96910	106320	80M文春1997_11034	69430	3.0	4.0
14940	70M中公1957_01016	9770	26440	80M文春2013_07033	17180	4.0	3.0
99130	70M文春1965_08158	63870	310390	80M文春2005_12099	208160	4.0	3.0
25650	70M文春1965_08157	16770	27040	80M文春2005_13024	17600	4.0	3.0
98640	70M文春1973_04036	61930	1770	PM36_00018	1120	4.0	3.0
114150	70M中公1957_10047	73700	122420	70M文春1981_12041	77590	3.0	4.0
188220	70M中公1957_03004	120480	48120	PM41_00166	29910	3.0	1.0
50370	70M文春1965_09030	33390	38550	PM31_00095	25530	4.0	4.0
