usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
18950	70M文春1965_05035	11740	18510	70M文春1965_04066	12430	4.0	3.0
280530	70M文春1973_10028	170540	16980	70M文春1965_11045	11440	3.0	4.0
100760	70M中公1957_03007	65400	19120	70M文春1973_12028	12140	3.0	2.0
30560	70M中公1957_11043	19260	7850	70M文春1973_10037	5060	3.0	1.0
8280	70M文春1965_12027	5300	2160	70M文春1965_04066	1480	3.0	2.0
171460	70M文春1973_18026	109660	61620	70M中公1933_06065	40510	4.0	3.0
16020	70M文春1965_08165	10390	4910	70M文春1965_02052	3280	4.0	4.0
126680	70M文春1973_10037	82870	111220	70M中公1957_09016	69480	3.0	3.0
56650	70M文春1973_18017	35840	7440	70M文春1965_10029	4740	3.0	2.0
37580	70M中公1941_07018	25300	125210	70M文春1973_10037	81900	4.0	4.0
26270	70M中公1957_01061	16340	37200	70M中公1941_10020	24950	3.0	2.0
106420	70M中公1957_10047	68850	41120	70M中公1941_10042	27670	4.0	4.0
32610	70M中公1941_11018	21240	1510	70M中公1941_03001	980	3.0	2.0
40340	70M文春1973_09044	26620	25500	70M中公1957_05044	16380	3.0	2.0
18590	70M文春1973_10037	12000	99230	70M中公1957_12020	63280	4.0	3.0
50	70M文春1973_18027	30	74440	70M文春1965_04033	47130	3.0	2.0
26060	70M中公1957_01061	16240	118730	70M文春1973_10037	77510	3.0	2.0
135570	70M文春1973_18026	86920	16760	70M文春1965_08165	10880	4.0	1.0
133110	70M中公1941_04029	91640	68330	70M文春1973_09042	44470	4.0	4.0
35690	70M文春1973_12028	22620	52290	70M文春1965_05045	32930	4.0	3.0
