usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
65530	80M文春2013_06059	41990	68110	70M文春1981_10050	43180	4.0	3.0
60610	PM26_00019	38980	230690	70M文春1981_03056	147840	4.0	4.0
8230	PM36_00010	5380	14100	PM11_00828	8700	4.0	3.0
374790	70M文春1981_03015	241820	140330	70M文春1981_09026	90470	4.0	4.0
2620	PM35_00087	1450	48130	70M文春1981_09026	31530	3.0	2.0
4860	PM11_00476	3070	5030	PM11_00689	3280	4.0	3.0
104940	70M文春1981_06030	69380	1290	PM53_00039	830	4.0	4.0
211360	70M文春1981_11060	135980	7030	80M文春2013_08091	4430	4.0	3.0
70010	80M文春2005_08048	44620	82170	80M文春2013_06041	51290	4.0	4.0
8260	PM41_00271	5540	47160	70M文春1981_02016	30360	3.0	2.0
12880	80M文春2013_07070	8560	251390	70M文春1981_05030	160670	4.0	4.0
19490	70M文春1981_07036	12900	89370	70M文春1981_09026	58090	4.0	4.0
25110	PM16_00020	15400	820	80M文春2005_01048	560	4.0	3.0
114230	70M文春1981_05047	72020	54400	80M文春2005_02015	35410	4.0	3.0
12710	PM41_00387	8360	21090	PM56_00030	12670	4.0	4.0
23450	PM11_00763	14690	7680	80M文春2013_06051	4830	4.0	3.0
4180	PM46_00015	2530	16910	PM36_00020	10480	4.0	2.0
83490	PM11_00257	51400	61840	80M文春1997_10054	43210	4.0	4.0
111930	80M文春1997_09030	72020	6280	80M文春2013_07033	4090	4.0	3.0
16020	PM55_00003	9020	19270	PM26_00011	12000	3.0	1.0
