usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
69140	70M中公1957_09030	45760	513080	80M文春2005_15032	327620	1.0	2.0
1930	70M文春1973_10009	1200	27820	70M文春1981_04024	17440	1.0	2.0
25130	70M文春1973_12023	16130	32160	PM21_00072	20430	4.0	3.0
90010	70M中公1949_01014	60210	61740	80M文春2013_11038	39600	1.0	1.0
14500	70M文春1965_04008	9560	81920	80M文春1989_03018	53440	1.0	2.0
273030	70M中公1957_14048	169280	1700	PM52_00021	1100	1.0	3.0
86380	70M中公1941_08020	58210	19780	PM11_00931	12580	3.0	4.0
134530	70M中公1957_11008	87650	63690	80M文春1989_01036	40070	1.0	2.0
91250	70M文春1973_18031	61750	45040	80M文春1997_11033	29520	1.0	1.0
79440	70M中公1957_11016	51520	5030	80M文春1989_12082	3250	3.0	3.0
84420	70M中公1941_07027	58000	81060	PM31_00707	49820	1.0	2.0
3610	70M中公1957_06071	2200	86550	80M文春1989_11040	53030	1.0	2.0
407860	70M中公1933_10043	265310	57150	80M文春1997_14026	37600	1.0	2.0
17030	70M中公1957_12014	11150	57600	80M文春2005_02075	35980	1.0	2.0
1570	70M中公1933_08035	910	116080	PM31_00707	70940	1.0	1.0
46840	70M文春1973_01039	29790	19460	80M文春2005_03001	12840	1.0	2.0
413190	70M中公1957_14048	257690	19620	80M文春1989_01037	12190	1.0	2.0
109670	70M中公1957_03010	71220	31940	PM51_00169	20620	1.0	1.0
64850	70M中公1933_06068	42750	24770	80M文春1997_07077	16320	3.0	3.0
52390	70M中公1933_10016	34230	45210	70M文春1981_07030	28460	4.0	3.0
