usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
20850	70M文春1973_18016	13090	12350	70M文春1965_09007	7970	1.0	2.0
56080	70M中公1933_09022	38360	83300	70M中公1941_05024	57450	4.0	2.0
76120	70M中公1941_04023	51990	27690	70M中公1941_02031	18160	1.0	3.0
25780	70M中公1933_09017	17470	90480	70M中公1933_11047	59990	下段の文章は、前後の文脈から「結構」の意味が取りにくい。	2.0
10530	70M中公1957_06024	6790	361210	70M中公1933_08043	242680	4.0	3.0
65610	70M中公1949_12003	41270	102670	70M中公1933_08009	69480	3.0	3.0
16970	70M文春1965_08154	11400	58820	70M中公1957_01061	37050	2.0	2.0
23420	70M文春1965_04032	14620	64280	70M中公1933_09041	42100	1.0	1.0
62030	70M中公1933_09022	42380	6330	70M中公1957_14048	4050	3.0	4.0
42890	70M中公1957_09050	27370	60880	70M中公1941_04032	41350	3.0	3.0
12010	70M中公1941_09035	8230	191970	70M文春1973_09034	129900	4.0	2.0
166410	70M中公1933_01044	108360	14240	70M中公1933_04009	9420	3.0	2.0
52650	70M中公1933_09033	34650	52180	70M中公1941_12024	34970	4.0	3.0
72910	70M中公1949_09014	47850	1660	70M文春1965_03040	1050	4.0	4.0
102130	70M中公1957_05040	67260	3350	70M中公1933_09006	2300	1.0	2.0
250	70M中公1933_09039	190	28550	70M中公1941_05024	19710	4.0	4.0
15360	70M文春1973_12037	10020	38390	70M文春1965_04034	24030	1.0	2.0
35820	70M中公1933_01044	23290	4470	70M中公1957_03009	2850	1.0	2.0
150120	70M中公1957_06039	94310	68340	70M中公1933_01011	45660	1.0	1.0
99890	70M文春1965_04065	65550	10290	70M中公1933_09006	6990	4.0	2.0
