usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
29630	PM21_00234	20680	56550	PM21_00978	27980	4.0	3.0
6490	PM41_00195	3640	116860	70M文春1981_13070	73880	3.0	3.0
68580	PM51_00602	42870	109060	80M文春2005_15040	71540	4.0	3.0
9240	PM41_00639	5740	39840	80M文春1997_08076	25670	4.0	3.0
11850	80M文春2013_08061	7890	44990	80M文春1989_13044	28910	1.0	1.0
164490	80M文春1989_12022	105530	149120	70M文春1981_03036	98960	1.0	2.0
2250	80M文春1989_09027	1340	38020	80M文春1997_09072	25380	1.0	2.0
35480	PM21_00629	22940	86110	80M文春1997_07017	56020	4.0	3.0
72340	70M文春1981_09023	47030	67570	PM21_00289	43580	1.0	1.0
91830	PM51_00602	58120	6100	70M文春1981_06048	4130	1.0	2.0
12340	PM21_00085	7110	16530	80M文春2013_01004	10530	3.0	1.0
43740	70M文春1981_06042	28310	22050	70M文春1981_12031	14160	1.0	2.0
131510	80M文春2013_02019	82430	18790	PM11_00638	10780	4.0	3.0
18450	PM55_00028	10470	50530	80M文春1997_07042	32560	4.0	3.0
15870	80M文春2013_04021	10620	7290	PM21_00885	4360	4.0	3.0
4570	80M文春1997_04078	2810	53020	80M文春1997_11057	34710	1.0	2.0
5280	70M文春1981_03057	3250	42300	PM11_00194	26060	4.0	3.0
39170	80M文春1989_05032	24310	125860	70M文春1981_05047	79050	4.0	3.0
98090	PM45_00039	57640	29690	80M文春2013_04102	18760	4.0	3.0
33650	PM31_00535	20520	4510	80M文春2013_08071	2950	4.0	4.0
