usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
62940	70M中公1941_01061	42900	28710	70M文春1981_06030	18700	4.0	3.0
131010	70M中公1957_14048	81780	210950	70M文春1981_11065	140150	3.0	3.0
63650	70M文春1973_03046	42380	34250	80M文春1989_02123	21740	4.0	3.0
115360	70M中公1933_06061	76970	35920	PM11_00217	22690	4.0	4.0
2750	70M文春1965_08008	1880	90920	PM26_00021	57330	3.0	2.0
76210	70M中公1933_01017	51400	44780	70M文春1981_01135	27280	4.0	2.0
75350	70M文春1965_02025	46040	85870	80M文春1997_10014	53340	4.0	3.0
23770	70M中公1957_05008	14970	1310	80M文春1989_10085	860	4.0	3.0
38710	70M中公1957_06068	27370	109360	80M文春2005_01014	70720	4.0	4.0
107490	70M文春1965_08143	72410	22510	80M文春1997_11030	14740	4.0	3.0
32700	70M文春1973_18046	20810	36440	80M文春2013_07015	23710	3.0	3.0
31260	70M中公1933_07037	22660	95780	80M文春1997_10025	62440	4.0	2.0
31090	70M文春1965_12054	21720	42630	80M文春2013_04022	28750	3.0	2.0
62260	70M中公1957_10029	42850	37390	80M文春2005_12052	25040	4.0	3.0
95910	70M中公1933_03044	66680	106460	70M文春1981_06014	67830	4.0	4.0
199810	70M中公1957_11027	124990	11040	80M文春1989_11010	7390	3.0	3.0
41010	70M中公1941_03041	25450	268440	80M文春1989_12048	177280	3.0	3.0
54110	70M文春1965_06063	37520	6660	PM32_00013	4110	4.0	4.0
21780	70M中公1933_04050	14880	47530	80M文春1989_03100	31290	4.0	2.0
44650	70M中公1957_03055	30930	20520	80M文春2013_02114	13180	3.0	4.0
