usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
15520	70M文春1973_18010	9880	17780	70M中公1957_13013	11230	4.0	3.0
169800	70M中公1941_11030	118010	425490	70M中公1933_05051	289400	4.0	4.0
188700	70M文春1965_06062	122370	27510	70M文春1965_09043	17720	3.0	3.0
108100	70M中公1957_11010	67960	77390	70M中公1933_05014	51050	4.0	4.0
7950	70M中公1933_06041	5610	30720	70M文春1973_04058	19600	4.0	3.0
5510	70M文春1973_03020	3570	31560	70M文春1973_03020	19960	3.0	2.0
86180	70M中公1941_03045	57650	72630	70M中公1941_03043	49100	4.0	3.0
92090	70M中公1933_10039	61550	150670	70M中公1957_06068	105070	4.0	4.0
38200	70M中公1949_03005	24190	71680	70M文春1973_10041	47420	4.0	3.0
47010	70M中公1957_05054	31780	105940	70M中公1933_03044	73730	3.0	3.0
18440	70M文春1973_13005	12510	56340	70M文春1965_11056	36330	4.0	3.0
155380	70M中公1957_05059	107680	54970	70M中公1933_05021	36130	3.0	4.0
155470	70M中公1957_01022	96120	25830	70M中公1941_03019	16450	4.0	4.0
83020	70M中公1933_06069	55050	3940	70M文春1965_11022	2560	4.0	3.0
50650	70M文春1973_13037	33070	30580	70M文春1973_07023	19160	4.0	4.0
46460	70M中公1949_12013	29270	84080	70M中公1941_09016	54220	4.0	2.0
1190	70M文春1965_01007	710	44060	70M中公1933_09023	31010	4.0	3.0
13070	70M文春1973_18043	8860	183560	70M文春1973_01049	121830	4.0	4.0
15370	70M中公1933_06034	10300	86900	70M中公1941_09016	56050	4.0	4.0
79890	70M中公1933_01044	51620	49000	70M中公1933_12054	33120	4.0	3.0
