usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
21450	80M文春2005_08021	14080	1670	80M文春1989_01043	1040	4.0	4.0
11530	70M文春1981_09022	7520	2340	80M文春2013_10009	1440	4.0	3.0
20870	80M文春2005_11001	13710	70980	80M文春2005_03062	45540	3.0	4.0
27450	80M文春1997_08038	17720	224030	70M文春1981_05030	143130	3.0	3.0
61200	80M文春1997_13045	39070	84030	80M文春1997_01034	55290	4.0	3.0
15070	80M文春1997_12028	10020	20190	PM21_00038	11660	3.0	2.0
30630	70M文春1981_06040	20650	35730	80M文春1997_05016	24060	4.0	4.0
109120	80M文春1997_12040	71490	12520	80M文春2013_03006	7830	4.0	2.0
16490	80M文春2013_01063	10640	42870	80M文春2005_03090	28390	4.0	4.0
17710	PM41_01107	10690	1420	80M文春2013_02036	980	3.0	3.0
74960	80M文春1989_01038	49930	16800	80M文春1997_05026	10250	4.0	3.0
43400	80M文春2005_03026	28630	9930	80M文春2013_02118	6460	3.0	3.0
80820	80M文春2005_12113	53530	50150	80M文春2013_10042	32200	3.0	2.0
46550	PM11_00562	30640	69800	PM31_00375	45300	4.0	3.0
2670	80M文春2013_02086	1670	8450	PM41_00226	5660	3.0	3.0
270290	70M文春1981_02034	169760	3430	80M文春2013_01061	2060	3.0	2.0
29880	70M文春1981_03061	19360	36930	80M文春1989_07025	22220	4.0	3.0
77380	80M文春2005_13038	50020	26030	80M文春2005_08070	17660	4.0	4.0
2720	80M文春1989_01038	1710	95330	80M文春1989_07042	64420	3.0	3.0
124530	80M文春1997_05025	79970	7400	70M文春1981_05009	4620	4.0	3.0
