usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
73990	70M中公1957_12034	47450	36180	80M文春2013_08040	22250	2.0	3.0
57070	70M中公1957_06065	35600	18510	80M文春2005_05008	11140	4.0	4.0
66640	70M中公1957_02012	41630	97560	80M文春1989_09067	59600	3.0	3.0
104110	70M中公1933_02011	70620	58410	80M文春2013_13047	38250	3.0	3.0
29640	70M文春1965_12018	18080	14650	70M文春1981_11019	9280	4.0	4.0
31700	70M文春1965_05062	20800	8450	70M文春1981_13003	4950	3.0	3.0
25290	70M中公1933_01038	16570	92600	80M文春1997_10019	57330	2.0	3.0
733130	70M文春1973_04054	478690	2820	80M文春2013_09059	1840	2.0	3.0
70680	70M文春1973_06032	47070	4130	80M文春1989_05073	2720	4.0	3.0
31990	70M文春1973_06022	19680	9340	80M文春2013_08049	5840	3.0	4.0
22680	70M中公1933_12017	14620	82000	80M文春2005_12057	53040	4.0	4.0
131300	70M中公1949_09002	83260	69300	80M文春2013_13047	45340	4.0	3.0
10700	70M中公1933_08031	6870	301320	80M文春1989_03121	194590	3.0	4.0
67770	70M中公1957_02012	42340	14280	70M文春1981_04009	9020	3.0	3.0
131270	70M中公1957_05012	82100	17190	80M文春1989_03082	11020	2.0	2.0
101400	70M中公1957_10042	68750	60430	PM45_00094	34440	4.0	3.0
10840	70M文春1973_13031	6900	102690	70M文春1981_04032	67630	2.0	2.0
9550	70M文春1965_10023	5770	12720	80M文春1989_06076	8120	4.0	4.0
125100	70M文春1973_01041	83420	55500	80M文春2013_06021	35150	3.0	3.0
98620	70M文春1973_01018	59850	38940	80M文春2005_05033	25110	3.0	3.0
