usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
5010	70M文春1965_07117	3170	30400	70M文春1965_05062	19940	3.0	3.0
7260	70M文春1965_11077	4680	205400	70M中公1957_06043	132430	3.0	3.0
27690	70M中公1933_11026	18070	14780	70M中公1933_01038	9450	2.0	2.0
9720	70M文春1973_04041	5890	227370	70M文春1973_15050	139840	3.0	4.0
590	70M文春1973_10043	370	69190	70M文春1973_06031	45310	3.0	3.0
11010	70M文春1965_03012	7120	42040	70M中公1933_07028	23620	3.0	4.0
12630	70M中公1933_12025	8570	39850	70M中公1933_07011	26250	3.0	2.0
66570	70M中公1957_13043	41090	157070	70M文春1973_18032	104030	4.0	3.0
128950	70M中公1941_04037	84350	86040	70M文春1973_01039	54810	2.0	2.0
37630	70M文春1965_05062	24580	64670	70M中公1933_03028	41560	4.0	3.0
94490	70M文春1973_13022	57020	16830	70M中公1949_04015	11460	3.0	3.0
10220	70M中公1933_08031	6540	7880	70M文春1965_11077	5130	3.0	3.0
3950	70M文春1973_15063	2410	241610	70M中公1933_09043	157570	4.0	4.0
33270	70M中公1957_05010	21360	100110	70M中公1957_12034	63850	2.0	3.0
23820	70M文春1965_11052	15240	241020	70M中公1933_09043	157220	4.0	4.0
101930	70M中公1957_11017	61750	37280	70M文春1965_04017	24040	4.0	3.0
162880	70M中公1957_06043	105220	107930	70M文春1965_11025	70760	3.0	4.0
26030	70M中公1933_12017	16760	31240	70M文春1965_06053	20300	4.0	3.0
78730	70M文春1973_16036	51190	128350	70M文春1973_01041	85600	4.0	3.0
71060	70M中公1957_02012	44350	3000	70M文春1973_13032	1840	4.0	4.0
