usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
23130	80M文春1997_03084	14840	16440	80M文春1997_01006	10720	2.0	4.0
35760	PM11_00658	21200	401030	80M文春1989_05043	272330	4.0	3.0
105410	80M文春1989_01017	64870	17530	PM11_00225	11040	4.0	4.0
8390	80M文春1997_04011	5490	26040	PM35_00050	15490	3.0	3.0
38630	PM41_00651	26040	20790	80M文春1989_02077	12730	3.0	3.0
7920	80M文春2013_08044	5210	60300	80M文春2013_13047	39490	2.0	2.0
8560	80M文春2005_08047	5350	25980	80M文春2005_15060	17580	3.0	4.0
10460	80M文春1989_13072	6720	3680	PM41_00878	2140	4.0	3.0
603830	70M文春1981_06027	365430	33540	70M文春1981_04030	20780	4.0	4.0
101760	70M文春1981_07028	66650	13850	70M文春1981_04009	8740	3.0	4.0
31610	80M文春1989_09033	20490	20000	70M文春1981_11033	13010	3.0	4.0
55870	80M文春2013_13047	36520	60630	80M文春2013_06021	38190	3.0	2.0
37620	70M文春1981_11048	24620	28520	70M文春1981_07023	18770	4.0	2.0
38410	PM11_00658	22770	61630	80M文春1989_07041	40550	3.0	4.0
56990	80M文春2013_13047	37250	27610	80M文春2005_03020	18020	4.0	4.0
35000	80M文春1989_09013	23350	26250	80M文春1997_09017	16970	3.0	3.0
32030	80M文春1997_13042	18950	9460	80M文春1997_05033	5900	4.0	4.0
106410	80M文春1989_07047	62580	14930	70M文春1981_07001	9880	4.0	3.0
16140	80M文春2013_08024	10450	65970	80M文春2013_13047	43120	4.0	3.0
13790	80M文春1989_05090	7710	76880	70M文春1981_10018	48800	4.0	3.0
