usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
43770	70M文春1965_12042	28990	2250	80M文春2013_04041	1490	4.0	2.0
5950	70M文春1965_10060	4100	28580	80M文春2013_03028	18650	3.0	3.0
139940	70M文春1973_03015	83960	3840	80M文春2013_06078	2610	4.0	4.0
214140	70M中公1941_06035	143700	11350	PM11_00639	7600	3.0	2.0
30090	70M中公1933_08044	19630	10370	80M文春2013_02063	6670	4.0	2.0
65730	70M中公1949_02002	41220	29680	80M文春1997_10036	19400	4.0	2.0
98680	70M中公1933_03009	65480	62400	80M文春2005_13038	40030	4.0	4.0
65830	70M文春1973_07046	44120	159790	80M文春1989_03123	104870	4.0	4.0
20290	70M文春1973_18020	13160	25160	80M文春1989_08045	16200	4.0	2.0
148460	70M文春1973_18017	95430	12080	80M文春2005_07116	7730	3.0	3.0
3780	70M文春1973_06023	2450	14580	80M文春2013_13001	9450	4.0	4.0
55850	70M中公1933_04054	37370	84730	80M文春2005_11021	56100	3.0	2.0
58110	70M中公1941_10015	37510	26960	80M文春2005_07096	17520	4.0	2.0
44860	70M中公1957_10039	26940	12940	PM11_00111	8000	3.0	1.0
4500	70M中公1941_07006	2980	12110	80M文春2005_08007	7930	3.0	2.0
84010	70M中公1933_09013	56910	8090	80M文春2013_08008	5390	3.0	2.0
154130	70M文春1973_13051	100860	18690	80M文春1989_05082	12050	4.0	2.0
84120	70M中公1933_12031	54110	69540	PM21_00376	44250	3.0	2.0
37240	70M中公1957_14012	23610	73050	80M文春1989_01069	47260	3.0	2.0
76440	70M中公1941_06018	50560	13750	PM41_00078	7930	4.0	2.0
