usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
31780	70M文春1973_10016	20200	63600	70M中公1933_09037	41310	3.0	2.0
41160	70M中公1933_10041	27990	17360	70M中公1941_12012	11250	4.0	3.0
48880	70M文春1973_06047	31660	238160	70M文春1973_04054	156600	4.0	2.0
16600	70M文春1973_16035	10580	50160	70M中公1933_06002	33500	3.0	2.0
140380	70M文春1973_06024	85200	53880	70M中公1933_09037	35050	4.0	2.0
3780	70M中公1957_12012	2320	63460	70M中公1933_09037	41220	3.0	1.0
47950	70M中公1933_04020	32170	464210	70M中公1941_06035	310740	3.0	2.0
63640	70M中公1949_12005	40490	32370	70M中公1957_06015	20090	3.0	3.0
19290	70M文春1973_18020	12480	170060	70M中公1957_06039	106520	4.0	2.0
65710	70M中公1957_01028	40020	13780	70M文春1965_07004	9390	4.0	1.0
29100	70M中公1933_02012	19350	45880	70M中公1933_12040	28240	4.0	2.0
14520	70M中公1941_04015	8960	102420	70M中公1941_04018	65520	4.0	4.0
53060	70M文春1973_04041	32210	10120	70M中公1957_12012	6210	3.0	2.0
79490	70M中公1949_09008	51270	97660	70M中公1957_13009	63870	3.0	2.0
55310	70M文春1965_04022	35440	19480	70M中公1933_04031	13180	4.0	2.0
47040	70M中公1933_08065	31860	5830	70M中公1933_09028	3820	4.0	4.0
15820	70M文春1973_06038	10170	90550	70M中公1933_01004	58250	4.0	3.0
74180	70M文春1973_06043	44200	62270	70M中公1933_02015	41530	4.0	2.0
170760	70M文春1965_04065	110990	188310	70M中公1957_01025	117560	4.0	2.0
860	70M中公1949_11006	560	110490	70M中公1949_01010	70370	4.0	3.0
