usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
104510	70M文春1981_13070	66120	230	70M文春1981_01134	110	3.0	3.0
26050	80M文春1989_05014	17390	21450	PM51_00823	12700	3.0	3.0
7840	70M文春1981_09040	4700	167010	70M文春1981_03050	108580	3.0	4.0
89220	80M文春2013_07021	58550	64780	80M文春1997_04023	42000	4.0	2.0
123880	80M文春2005_03030	80790	19110	80M文春1989_05043	13180	4.0	2.0
93510	80M文春2005_12115	62820	7050	80M文春2005_16049	4710	3.0	2.0
60120	80M文春1997_10054	42020	39920	80M文春2013_12064	24660	3.0	3.0
5710	70M文春1981_03024	3550	36800	80M文春1989_05036	23520	4.0	2.0
171190	80M文春1989_13023	102700	2850	70M文春1981_09036	1780	3.0	3.0
95380	80M文春1989_03083	60690	17220	PM51_00688	11060	4.0	2.0
5090	80M文春1989_05057	3120	14390	80M文春1989_12015	9210	4.0	1.0
990	80M文春1997_08072	620	77640	80M文春1997_09024	49980	3.0	2.0
8170	80M文春2013_03068	5130	18000	80M文春1989_10089	11760	4.0	2.0
64580	80M文春1997_08027	40810	129740	80M文春2013_11056	82290	3.0	1.0
19170	PM42_00123	11980	190510	70M文春1981_05045	128240	4.0	3.0
7340	80M文春2005_12064	4870	23100	70M文春1981_11031	15250	3.0	3.0
124240	80M文春1997_03033	81070	19750	80M文春2005_08018	12750	4.0	2.0
57490	80M文春1989_09014	36090	31680	PM51_00704	20280	4.0	4.0
5450	PM11_00144	3730	77870	80M文春1997_04023	50120	4.0	2.0
127370	80M文春1989_05043	86800	55920	80M文春2013_09023	35660	4.0	3.0
