usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
80140	70M中公1957_12051	51550	25340	80M文春2005_02018	16330	1.0	3.0
27800	70M中公1957_14016	18930	21500	PM21_01297	11430	4.0	3.0
85150	70M中公1949_04013	54850	15560	PM41_00651	10500	4.0	3.0
64630	70M文春1973_13040	41840	79050	80M文春1997_07040	50640	4.0	4.0
154930	70M中公1941_12036	97680	507140	80M文春1989_03123	334960	1.0	3.0
24110	70M中公1941_09035	16360	108360	70M文春1981_05052	68430	1.0	2.0
2420	70M中公1957_02027	1510	100890	70M文春1981_13058	62600	1.0	3.0
410	70M文春1973_12010	300	210270	80M文春2013_10092	131530	4.0	3.0
69710	70M文春1973_07027	44630	3380	80M文春2013_01119	2180	4.0	3.0
35120	70M文春1973_07045	22360	643060	80M文春2005_03078	404000	1.0	2.0
20270	70M文春1965_04066	13570	12470	80M文春2013_02008	7640	4.0	3.0
39600	70M文春1965_11052	25160	9870	80M文春1989_05045	5920	上段の文章は、「迚も」の意味ではない。	1.0
29020	70M中公1933_04055	19900	13230	PM52_00021	8590	2.0	3.0
31280	70M文春1965_05019	18960	60050	80M文春2005_08014	38100	4.0	4.0
4670	70M文春1965_02011	3060	16490	PM41_00174	10940	1.0	3.0
10170	70M文春1973_04054	6790	40020	80M文春2013_09038	25490	1.0	2.0
6620	70M中公1957_02025	4490	7650	80M文春2013_01149	4830	1.0	3.0
47190	70M中公1933_04046	31950	10720	80M文春2013_03055	6800	1.0	3.0
87920	70M中公1933_02016	58030	1170	80M文春2005_05041	730	4.0	3.0
21630	70M中公1933_02040	14270	16350	PM31_00516	10280	1.0	2.0
