usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
151130	70M文春1973_12023	96550	236790	70M文春1973_15015	155450	1.0	3.0
21650	70M文春1965_05031	13320	82980	70M文春1965_04033	52520	4.0	4.0
3110	70M文春1965_08174	2260	40410	70M中公1941_01023	28140	3.0	3.0
30300	70M中公1957_13044	20520	2000	70M中公1941_03044	1320	1.0	3.0
38810	70M中公1957_01060	24710	54510	70M文春1965_03069	33180	1.0	3.0
300170	70M文春1965_06062	195330	33540	70M中公1941_07029	22490	4.0	4.0
300860	70M文春1965_06062	195810	73490	70M中公1957_02002	45930	3.0	4.0
12840	70M中公1957_14034	8210	187500	70M中公1941_08036	124980	1.0	2.0
98380	70M中公1949_02006	65140	16360	70M中公1957_02055	10130	4.0	3.0
64160	70M中公1933_04058	42440	107850	70M文春1973_09016	68480	1.0	2.0
126250	70M文春1973_09034	85810	12260	70M文春1965_11052	7950	4.0	4.0
213010	70M中公1957_01073	135980	218300	70M文春1973_04054	143270	3.0	3.0
95010	70M文春1973_04026	57950	106540	70M中公1933_06070	72150	1.0	2.0
33430	70M中公1957_09037	21500	171120	70M中公1941_03044	116820	4.0	4.0
35350	70M中公1941_04024	24240	27050	70M文春1973_03015	16390	4.0	3.0
71320	70M文春1965_04065	47000	95010	70M中公1933_05038	64310	4.0	4.0
49020	70M文春1965_10040	32850	34850	70M文春1973_09040	21060	3.0	3.0
141480	70M文春1973_16036	91620	181920	70M中公1933_12054	122440	3.0	3.0
271440	70M中公1941_10011	180300	7760	70M中公1941_05036	5160	4.0	2.0
69620	70M中公1933_07016	45290	82870	70M中公1933_09041	54440	上段の文章は、「迚も」の意味ではない。	1.0
