usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
43710	80M文春1997_13027	29990	29350	80M文春2005_03086	18210	1.0	3.0
69620	PM25_00098	39680	20120	80M文春1989_10048	13370	4.0	3.0
35420	80M文春2005_16018	21630	54900	70M文春1981_07024	35160	上段の文章は、「迚も」の意味ではない。	1.0
67080	80M文春2005_13060	44510	16390	PM21_00627	9640	1.0	3.0
5730	80M文春1997_13041	3630	41650	80M文春2013_09038	26520	1.0	3.0
2830	70M文春1981_09035	1630	65920	70M文春1981_07024	42280	4.0	3.0
4900	80M文春2005_11067	3230	14250	80M文春2013_07045	9260	上段の文章は、「迚も」の意味ではない。	1.0
13710	80M文春2005_13004	8850	231270	80M文春2005_03078	143780	4.0	4.0
18790	80M文春2013_10080	12050	11270	80M文春2005_11058	7460	4.0	3.0
71090	80M文春1997_12037	46760	47810	80M文春2005_07091	30090	3.0	3.0
67640	80M文春2005_12089	44160	10050	PM51_00583	6110	3.0	3.0
50570	80M文春1997_12038	33600	67340	80M文春1997_14038	43770	4.0	3.0
68920	80M文春2013_02018	44160	21440	PM51_00612	12490	4.0	3.0
80360	80M文春1989_02138	50070	3430	PM41_00038	1990	1.0	3.0
1380	80M文春2013_13024	890	9850	80M文春2013_10055	6540	3.0	3.0
2340	70M文春1981_06052	1570	44150	80M文春2013_07045	29020	1.0	2.0
47690	80M文春2013_08027	30310	48180	PM11_00528	29450	4.0	3.0
710	80M文春2013_04074	420	81040	80M文春2005_12089	52960	4.0	4.0
47200	PM53_00007	31120	89560	PM11_00394	53730	3.0	3.0
67110	PM31_00683	42640	146310	80M文春1989_09068	97660	4.0	1.0
