usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
32400	70M文春1973_18019	20400	10300	80M文春1989_11039	6500	2.0	3.0
180190	70M中公1949_10002	112840	116710	80M文春1997_03024	74500	3.0	2.0
24760	70M中公1933_05050	16770	31650	PM11_00059	16150	4.0	4.0
65500	70M中公1941_08037	43490	107220	70M文春1981_12041	67910	3.0	4.0
14820	70M文春1965_07095	9390	67100	80M文春2005_16067	44170	2.0	3.0
56930	70M中公1941_01028	38810	39350	80M文春2013_07047	24970	2.0	2.0
22230	70M中公1941_12018	14600	22480	80M文春1989_07038	14790	1.0	2.0
74130	70M文春1965_02035	49060	111460	80M文春2005_13022	73100	1.0	2.0
27910	70M中公1941_06031	18140	2810	80M文春2005_11038	1760	4.0	4.0
479430	70M文春1973_10028	293460	40000	80M文春1997_01032	25530	3.0	2.0
98230	70M中公1933_09009	66030	12270	80M文春1989_07037	8270	1.0	2.0
79460	70M文春1965_03024	50720	76460	PM52_00038	49430	4.0	4.0
81990	70M中公1933_09009	55330	73120	80M文春2005_12084	48760	3.0	4.0
28930	70M中公1933_12044	19010	44920	PM41_00275	25750	3.0	4.0
135550	70M中公1957_13010	84050	80080	80M文春2005_15015	51260	2.0	2.0
38290	70M中公1949_10004	24070	18610	PM51_01080	11400	2.0	2.0
133680	70M中公1941_04044	87260	294780	70M文春1981_06027	178980	4.0	3.0
20850	70M中公1933_12051	13170	304130	80M文春2013_10092	189050	3.0	3.0
119710	70M文春1973_16037	78030	18180	70M文春1981_03009	11670	2.0	3.0
84200	70M文春1965_10018	56540	162300	80M文春2005_11052	107060	3.0	3.0
