usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
62540	70M中公1957_10031	40140	16730	70M中公1933_04035	10890	2.0	2.0
10260	70M文春1973_12036	6840	283540	70M中公1933_03044	196320	4.0	3.0
70410	70M中公1949_06007	44640	83540	70M中公1933_06003	53180	4.0	3.0
4690	70M中公1933_03025	3210	8910	70M中公1933_12006	5940	3.0	3.0
31360	70M中公1933_05014	20990	1280	70M中公1933_05039	880	4.0	2.0
64950	70M中公1957_06013	42010	7460	70M文春1965_01027	4980	4.0	4.0
68890	70M中公1941_11008	45090	17960	70M文春1965_11020	11360	4.0	3.0
263350	70M中公1957_10008	166980	80480	70M中公1957_03004	51510	4.0	4.0
40010	70M中公1933_08011	26170	72460	70M中公1957_10031	46390	3.0	3.0
55670	70M中公1949_08015	35990	13110	70M中公1933_01018	8900	4.0	3.0
58550	70M中公1933_09023	41440	4650	70M中公1949_01008	3060	4.0	3.0
101480	70M中公1933_05014	66950	28570	70M中公1941_08011	19010	4.0	2.0
121830	70M中公1957_06039	76550	20390	70M文春1973_09037	12870	3.0	4.0
118540	70M中公1957_01073	76500	48680	70M文春1973_09021	31290	4.0	2.0
35860	70M文春1973_16016	23240	8000	70M中公1941_01016	5280	1.0	2.0
35360	70M中公1941_12014	22140	57280	70M中公1949_01010	36380	4.0	2.0
39320	70M中公1933_12005	26550	95030	70M中公1933_09004	61710	4.0	2.0
38810	70M中公1933_05026	26100	220770	70M中公1957_05060	140060	2.0	4.0
119010	70M中公1957_03059	82600	33470	70M中公1941_06008	21980	4.0	3.0
119510	70M中公1933_05028	82460	42800	70M文春1965_04018	28040	1.0	2.0
