usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
6180	80M文春2005_05083	3780	18360	PM12_00034	11950	2.0	2.0
82730	80M文春2013_07073	51960	43700	70M文春1981_10054	28620	3.0	4.0
25260	70M文春1981_13067	17140	28300	70M文春1981_12045	18390	2.0	1.0
10780	80M文春1997_13056	7120	1850	70M文春1981_11001	1270	3.0	2.0
52410	70M文春1981_02049	34470	53050	PM41_00768	31200	4.0	4.0
108040	80M文春1989_03024	69290	41600	PM11_00267	28290	3.0	2.0
22420	80M文春2005_12099	14880	10320	80M文春2005_11037	6310	3.0	3.0
30730	80M文春2005_02020	19570	47660	PM11_00082	29930	1.0	1.0
58030	70M文春1981_03038	35320	2830	70M文春1981_04047	1910	4.0	1.0
143450	80M文春1997_09024	92940	23560	PM41_00784	12420	3.0	3.0
18480	PM51_00093	11490	76230	80M文春1989_10086	48630	1.0	2.0
4910	80M文春1989_03078	3240	33800	80M文春2013_10092	20920	3.0	3.0
84020	80M文春1989_07022	54500	22510	70M文春1981_06020	14680	4.0	4.0
2170	80M文春1989_09024	1430	11610	80M文春1989_05035	7350	1.0	2.0
10820	70M文春1981_10052	7100	109140	70M文春1981_03015	69980	2.0	1.0
175780	80M文春2013_10092	109840	4170	80M文春1989_02130	2770	2.0	2.0
41410	PM45_00144	22320	54260	80M文春1989_10016	35610	3.0	3.0
99310	70M文春1981_09026	64410	381380	80M文春1989_05043	259230	4.0	3.0
19980	PM31_00391	12690	147080	80M文春1989_06061	92420	3.0	3.0
29730	80M文春1997_12037	19280	75130	80M文春1989_01036	47230	4.0	4.0
