usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
78960	70M中公1941_06020	52950	7850	80M文春2013_07053	5240	2.0	2.0
79920	70M中公1933_04015	54770	406510	80M文春1989_05043	275910	2.0	4.0
920	70M中公1957_13036	550	68480	80M文春1997_09028	43670	4.0	4.0
55640	70M中公1957_08014	33970	55460	80M文春2005_07108	36100	4.0	4.0
31650	70M文春1973_12022	20280	57380	70M文春1981_04023	38120	下段の文章は、「遺憾」の意味ではない。	1.0
63960	70M中公1941_06008	41420	3570	80M文春1989_07009	2320	4.0	3.0
39670	70M中公1933_06007	27150	64240	80M文春1997_09028	40890	4.0	3.0
140710	70M中公1933_01025	90470	65940	70M文春1981_12018	42380	4.0	3.0
57910	70M中公1933_05012	39730	10000	80M文春2013_02107	6590	2.0	2.0
59350	70M中公1949_03002	37270	3710	80M文春1989_03138	2320	3.0	3.0
33950	70M文春1973_07026	20810	20290	80M文春2005_02080	13420	2.0	3.0
20270	70M中公1949_07001	12750	1920	80M文春2005_05024	1140	下段の文章は、「遺憾」の意味ではない。	1.0
41620	70M中公1949_10011	26960	30510	70M文春1981_03028	19570	4.0	4.0
154050	70M中公1933_07020	105250	70080	80M文春1997_09028	44730	4.0	3.0
56770	70M文春1973_01032	36130	32990	PM11_00623	21520	2.0	2.0
18750	70M文春1973_06016	11840	20	80M文春1989_08043	20	下段の文章は、前後の文脈から「遺憾」の意味が取りにくい。	後者の文意が読み取れず、比較できません
38830	70M中公1933_01018	26330	5890	80M文春1989_13028	3730	4.0	4.0
31330	70M中公1941_11018	20420	98860	80M文春1989_07022	64030	4.0	4.0
4810	70M中公1933_07017	3250	19100	70M文春1981_10023	11950	2.0	3.0
52780	70M中公1957_01009	33660	19070	80M文春1997_09088	11600	下段の文章は、「遺憾」の意味ではない。	1.0
