usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
112670	70M中公1949_05008	74370	109490	70M中公1941_01015	71360	上段の文章は、「遺憾」の意味ではない。	1.0
19740	70M中公1933_05011	13530	26510	70M中公1941_12026	17350	4.0	4.0
25140	70M中公1957_01036	15860	39440	70M中公1949_09004	25810	4.0	4.0
79960	70M中公1941_07005	51510	46380	70M中公1933_04029	31270	2.0	2.0
43210	70M中公1933_06007	29430	89470	70M中公1941_04029	61560	3.0	3.0
61420	70M文春1973_06039	39480	42120	70M中公1957_01002	27410	3.0	3.0
4430	70M中公1933_02036	3020	14650	70M中公1957_06039	9260	4.0	4.0
48510	70M中公1933_06007	32860	5060	70M文春1965_09001	3170	4.0	3.0
65650	70M中公1941_02020	43600	66880	70M中公1933_03016	46340	3.0	3.0
93950	70M中公1957_11041	59770	147150	70M中公1933_07010	96430	2.0	2.0
146910	70M中公1933_07041	99800	16310	70M中公1941_11010	10730	4.0	4.0
106030	70M中公1941_05035	71460	56550	70M中公1933_02004	37380	3.0	3.0
47400	70M文春1973_13054	30750	48860	70M文春1973_10020	32530	3.0	4.0
98150	70M文春1965_02032	66290	3000	70M中公1941_03013	1920	4.0	4.0
34970	70M中公1933_12002	22690	41230	70M中公1941_02020	27300	4.0	3.0
6300	70M文春1973_07010	4130	36340	70M中公1933_04053	24700	3.0	4.0
13450	70M文春1965_07211	8420	19930	70M中公1933_03015	13660	4.0	4.0
34670	70M中公1941_02032	23100	40700	70M中公1941_08015	26410	2.0	3.0
78090	70M文春1973_09045	51370	76350	70M中公1933_09013	51770	4.0	3.0
8970	70M中公1957_13018	6020	27980	70M中公1933_08060	18750	2.0	2.0
