usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
194450	70M中公1933_04055	131180	8170	80M文春2005_01017	5300	上段の文章は、文脈から「電車」の意味が取りにくい。	2.0
152090	70M文春1973_13051	99480	18880	70M文春1981_10022	12310	3.0	3.0
79880	70M中公1933_01045	53430	33930	80M文春2005_09015	22140	4.0	4.0
22520	70M文春1965_04004	14670	24630	PM31_00492	15540	3.0	3.0
430780	70M中公1933_11047	288460	1320	PM51_00225	620	3.0	4.0
33790	70M中公1957_11062	22930	59170	PM31_00492	37040	3.0	3.0
10200	70M中公1941_09037	6800	17870	PM51_00840	10890	3.0	3.0
103110	70M文春1973_18018	67840	38030	PM11_00109	20920	4.0	4.0
73200	70M中公1933_03005	47120	98450	70M文春1981_10022	62330	4.0	3.0
17080	70M中公1941_03044	11500	10590	80M文春2013_08010	6620	3.0	3.0
298590	70M中公1941_03043	199550	19290	80M文春2005_02075	12140	2.0	2.0
44440	70M中公1949_12010	29280	17190	70M文春1981_11068	10970	2.0	3.0
890580	70M文春1973_04054	581330	94270	80M文春2013_12062	62220	3.0	3.0
257180	70M文春1965_08169	166420	300	70M文春1981_03050	210	2.0	3.0
30250	70M文春1973_03048	20330	86880	70M文春1981_09045	56710	3.0	4.0
21960	70M中公1949_12017	15210	28390	PM51_00814	18330	4.0	4.0
2410	70M中公1933_06069	1460	18800	PM21_00718	10610	3.0	3.0
68230	70M中公1933_08019	44960	40570	80M文春2005_09014	26340	4.0	4.0
294530	70M中公1957_01073	188060	64000	80M文春2013_12023	41370	3.0	3.0
32830	70M中公1933_01017	22080	70100	PM31_00492	43820	3.0	3.0
