usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
5160	70M文春1973_10035	3290	41790	70M中公1941_01064	28190	4.0	3.0
12120	70M中公1949_10010	8080	167900	70M中公1933_04055	113690	3.0	4.0
23330	70M中公1933_04016	16280	137620	70M中公1949_09014	90730	3.0	3.0
202280	70M中公1949_12018	135840	301560	70M中公1957_01073	192540	3.0	3.0
20820	70M中公1933_06016	13620	3420	70M文春1973_10035	2150	3.0	4.0
175140	70M中公1949_11002	112520	286950	70M中公1933_03044	198710	2.0	3.0
67350	70M中公1941_08037	44780	103160	70M中公1933_06069	68510	3.0	2.0
430840	70M中公1933_11047	288510	156540	70M中公1941_08037	104320	3.0	3.0
17040	70M文春1965_12014	11110	169460	70M中公1957_01073	108430	3.0	3.0
71330	70M中公1957_01071	47300	257070	70M文春1965_08169	166360	3.0	4.0
130	70M中公1949_08009	80	139940	70M中公1957_02032	87120	2.0	3.0
325990	70M中公1957_01073	208200	88040	70M中公1957_13021	55210	3.0	2.0
61870	70M文春1965_05051	40960	55830	70M文春1973_12038	37330	3.0	3.0
32390	70M文春1965_12021	21610	167660	70M中公1933_04055	113510	3.0	3.0
97770	70M中公1933_07051	63810	89530	70M文春1973_12035	59580	3.0	4.0
61240	70M文春1973_06038	39410	1720	70M文春1973_13039	1060	4.0	2.0
30440	70M中公1941_01065	19880	20750	70M中公1957_10031	13150	4.0	3.0
63510	70M中公1933_03045	43230	31830	70M中公1933_05025	20990	3.0	3.0
45340	70M中公1941_02026	31110	39170	70M文春1973_18018	25800	4.0	3.0
65520	70M中公1957_06052	44020	77090	70M中公1957_03043	48530	4.0	2.0
