usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
620	80M文春2005_12089	330	35710	80M文春2005_09015	23250	4.0	4.0
68550	PM52_00078	43140	29600	80M文春2005_08026	19420	3.0	3.0
20240	80M文春2005_02025	13600	32770	80M文春2005_02075	20620	2.0	2.0
11420	80M文春2005_08085	7210	76730	80M文春2005_13046	49450	2.0	2.0
5020	80M文春2005_05073	3100	21320	80M文春2005_13046	13710	4.0	4.0
25310	80M文春1997_10046	16240	12620	80M文春2005_07129	8550	3.0	3.0
4920	80M文春2005_12131	3180	8720	80M文春2005_01017	5630	3.0	4.0
8160	80M文春1997_03041	5510	66160	70M文春1981_06033	41870	3.0	3.0
29300	80M文春2005_08026	19240	7040	80M文春2013_03067	3650	3.0	3.0
19020	80M文春2005_02025	12790	220	80M文春2005_16035	100	3.0	3.0
8230	80M文春2005_05066	5220	238320	80M文春1989_03121	153920	3.0	3.0
20030	80M文春1989_13043	12570	39610	PM31_00492	24960	4.0	3.0
10240	80M文春2013_08009	6460	297240	80M文春1989_03121	191850	4.0	3.0
101660	70M文春1981_10022	64450	45250	80M文春1989_02148	30630	3.0	3.0
12970	PM12_00041	8920	69510	80M文春2005_09015	45130	4.0	4.0
27050	80M文春2005_13046	17550	19100	80M文春1997_14024	11720	4.0	3.0
41760	80M文春2013_08069	26860	25490	80M文春1997_10046	16380	3.0	3.0
31950	PM32_00102	19000	78290	80M文春2005_13046	50430	4.0	4.0
14690	PM51_00599	9060	9380	80M文春1997_14043	5930	4.0	3.0
69110	PM52_00078	43540	232430	80M文春1989_03121	150260	4.0	2.0
