CHJ&BCCWJ	Earlier	Later	Compare
結構	2.3625	3.3375	1.5125
迚も	2.897435897	2.975	1.825
モデル	3.228571429	2.85	1.85
適当	3.2875	2.7375	2.2
優勝	3.1375	3.6625	2.5
普通	2.625	2.58974359	2.55
免許	2.6875	2.974683544	2.5625
旨い	2.342105263	2.425	2.6
遺憾	3.25	3.5	2.611111111
警戒	3	3.375	2.794871795
主張	3.275	2.8375	2.95
合計	3.425	3.025	2.95
電車	3.41025641	2.925	3
教授	2.9375	3.620253165	3.025316456
英語	3.15	3.075	3.125
林檎	3.4875	3.189873418	3.12987013
写真	3.05	3.4625	3.275
椅子	2.828947368	3.5875	3.291139241
翌日	3.475	3.25	3.315789474
症状	3.6	3.375	3.615384615
