	pairwise	cohen_kappa	rho	alpha	group
教授	0.4583333333	0.2647689203	0.3150204941	0.5545	Earlier
教授	0.4666666667	0.0290227202	0.2800523512	-0.0583	Later
教授	0.475	0.2847156781	0.3821090693	0.6731	Compare
免許	0.2833333333	0.005084452659	0.2701420396	0.29	Earlier
免許	0.55	0.3728817355	0.4096491354	0.6861	Later
免許	0.425	0.1706025317	0.3005131829	0.5103	Compare
優勝	0.4083333333	0.1615235699	0.3411413362	0.3287	Earlier
優勝	0.575	-	-	-0.2499	Later
優勝	0.4583333333	0.237112302	0.326933126	0.1688	Compare
適当	0.3333333333	0.02902406195	0.3367961028	-0.1248	Earlier
適当	0.4333333333	0.2711182959	0.3495350951	0.623	Later
適当	0.3	0.07850188241	0.3336287161	0.4721	Compare
結構	0.5083333333	0.3488079002	0.3882120673	0.6929	Earlier
結構	0.3916666667	0.09740946545	0.2588989139	0.0928	Later
結構	0.4166666667	0.06465001241	0.3319127246	-0.1126	Compare
林檎	0.4416666667	0.06480645845	0.3284273152	-0.0184	Earlier
林檎	0.4416666667	0.2007285641	0.3146218064	0.367	Later
林檎	0.425	0.2094339579	0.3954693956	0.4952	Compare
写真	0.3416666667	0.08398403234	0.267491456	0.2181	Earlier
写真	0.3583333333	0.01742738589	0.2422136768	-0.1334	Later
写真	0.35	0.08713412165	0.2848246431	-0.0211	Compare
椅子	0.4833333333	0.338747241	0.4734461524	0.7308	Earlier
椅子	0.4583333333	0.04745762712	0.3345576485	-0.0759	Later
椅子	0.475	0.197664214	0.4267353472	0.5576	Compare
主張	0.3833333333	0.1083460296	0.3172811734	0.0106	Earlier
主張	0.4	0.1790563575	0.2962963553	0.3581	Later
主張	0.425	0.1789546579	0.3000465908	0.4583	Compare
モデル	0.35	0.1275167785	0.30800864	0.6278	Earlier
モデル	0.6	0.4007490637	0.3886421492	0.7376	Later
モデル	0.2	0.08045977011	0.2925127479	0.0397	Compare
迚も	0.5	0.3150684932	0.2954432288	0.4912	Earlier
迚も	0.35	0.1362126246	0.3821747105	0.6611	Later
迚も	0.15	0.00293255132	0.2819639048	0.0138	Compare
旨い	0.4	0.2429022082	0.4080008595	0.6843	Earlier
旨い	0.35	0.1447368421	0.3557818496	0.6286	Later
旨い	0.25	0.1017964072	0.3943991544	0.531	Compare
普通	0.4	0.1335740072	0.2982399025	0.1804	Earlier
普通	0.45	0.2387543253	0.2394395062	0.4001	Later
普通	0.55	0.2941176471	0.2549543162	0.4437	Compare
翌日	0.5	0.05213270142	0.4149616309	-0.022	Earlier
翌日	0.55	0.25	0.254248104	0.2852	Later
翌日	0.65	0.3913043478	0.3080941275	0.5468	Compare
電車	0.45	0.1235059761	0.3090472537	0.2904	Earlier
電車	0.4	0.1459074733	0.2831033788	0.2491	Later
電車	0.4	0.0243902439	0.4451300911	0.0753	Compare
合計	0.85	0.7379912664	0.3985054924	0.7983	Earlier
合計	0.15	-0.1971830986	0.2905549528	-0.076	Later
合計	0.3	0.05405405405	0.2412566229	0.3719	Compare
英語	0.45	0.137254902	0.2429294697	0.3254	Earlier
英語	0.35	0.0780141844	0.288324186	0.1095	Later
英語	0.45	0.1698113208	0.2531112171	0.1941	Compare
警戒	0.3	-0.02189781022	0.3595252382	0.1136	Earlier
警戒	0.4	0.0438247012	0.255821073	0.0435	Later
警戒	0.3	-0.12	0.4386547544	-0.1817	Compare
症状	0.35	-	-	-0.4318	Earlier
症状	0.35	-	0.341787908	0.1749	Later
症状	0.4	0.06614785992	0.4009696904	-0.2688	Compare
遺憾	0.55	0.3308550186	0.2908059211	0.5554	Earlier
遺憾	0.5	0.1189427313	0.3199872286	0.0935	Later
遺憾	0.55	0.4303797468	0.4069261745	0.6015	Compare
