	pairwise	cohen_kappa	rho	alpha	group
教授	0.65	0.3721973094	0.2512252975	0.3898	Earlier
教授	0.6	0.2626728111	0.2421390292	0.3251	Later
教授	0.45	0.07172995781	0.2891961944	0.2268	Compare
免許	0.3	0.07284768212	0.286881085	0.0333	Earlier
免許	0.1	-0.1111111111	0.3004272671	-0.3531	Later
免許	0.15	-0.02102102102	0.2400571751	-0.4071	Compare
優勝	0.25	0.02597402597	0.3283819635	0.1542	Earlier
優勝	0.3	0.02097902098	0.4542868465	-0.4586	Later
優勝	0.25	-0.01351351351	0.3034019932	0.0914	Compare
適当	0.25	0.02597402597	0.4277102452	-0.0403	Earlier
適当	0.55	0.3918918919	0.3182516887	0.6312	Later
適当	0.4	0.1608391608	0.3473548517	0.6659	Compare
結構	0.35	0.223880597	0.2652097167	0.5078	Earlier
結構	0.2	0.07514450867	0.4367048641	0.58	Later
結構	0.3	0.133126935	0.3778168808	0.4223	Compare
林檎	0.15	-0.1888111888	0.3842307867	-0.1336	Earlier
林檎	0.35	0.04761904762	0.2421433021	0.3863	Later
林檎	0.5	0.1071428571	0.3380948255	0.0669	Compare
写真	0.3	-0.007194244604	0.257641459	0.2198	Earlier
写真	0.5	0.2337164751	0.2496560739	0.3182	Later
写真	0.25	0.03536977492	0.2398239694	0.0699	Compare
椅子	0.6	0.4202898551	0.4417262268	0.8053	Earlier
椅子	0.15	-0.005917159763	0.2470024202	0.1562	Later
椅子	0.35	0.2073170732	0.3593453733	0.6906	Compare
主張	0.35	0.02621722846	0.3216115214	0.389	Earlier
主張	0.15	-0.1486486486	0.3474963115	-0.1756	Later
主張	0.15	-0.08974358974	0.3844253965	0.0983	Compare
モデル	0.3	0.1194968553	0.2726564143	0.4409	Earlier
モデル	0.6	0.4557823129	0.4162994613	0.8038	Later
モデル	0.2	-0.04918032787	0.2652317678	0.3733	Compare
迚も	0.45	0.26910299	0.3275271864	0.5765	Earlier
迚も	0.3	0.09967845659	0.2590653858	0.1962	Later
迚も	0.1	0.02702702703	0.3262280617	0.3683	Compare
旨い	0.65	0.552715655	0.3400046113	0.7987	Earlier
旨い	0.4	0.1143911439	0.2400399174	0.3912	Later
旨い	0.45	0.3015873016	0.3978817583	0.751	Compare
普通	0.45	0.2413793103	0.2447943845	0.2953	Earlier
普通	0.35	0.08127208481	0.2919790499	0.5157	Later
普通	0.4	0.1044776119	0.2411298917	0.4047	Compare
翌日	0.45	0.05172413793	0.287865858	0.0028	Earlier
翌日	0.45	0.1056910569	0.2392123596	0.1875	Later
翌日	0.4	0.09433962264	0.3405156029	-0.062	Compare
電車	0.35	-0.2037037037	-0.04122235621	-0.2572	Earlier
電車	0.7	0.5020746888	0.2550282212	0.4448	Later
電車	0.7	0.4827586207	0.3633372622	0.6517	Compare
合計	0.4	0.1549295775	0.3210777044	0.1951	Earlier
合計	0.3	-0.05660377358	0.240620908	0.2211	Later
合計	0.6	0.4223826715	0.3328299028	0.6087	Compare
英語	0.5	0.1803278689	0.2415197124	0.4154	Earlier
英語	0.4	-	0.4968135834	0.0196	Later
英語	0.6	0.3650793651	0.2986094172	0.5824	Compare
警戒	0.15	0.01734104046	0.2605177066	-0.3628	Earlier
警戒	0.3	0.1111111111	-0.03793560668	-0.5252	Later
警戒	0.3	0.1715976331	0.2498842358	-0.1475	Compare
症状	0.25	-	0.2883433603	0.2584	Earlier
症状	0.4	-	0.3200521201	0.1549	Later
症状	0.3	-0.186440678	0.3032910878	0.0656	Compare
遺憾	0.65	0.4776119403	0.3606938578	0.6731	Earlier
遺憾	0.5	0.3006993007	0.3458734174	0.2654	Later
遺憾	0.5	0.3690851735	0.3977022986	0.5567	Compare
